route_id,route_short_name,route_long_name,direction_id,shape_id,scheduled_trips,shape_path_km,shape_points,start_lat,start_lon,end_lat,end_lon,straight_line_km,directness_ratio
126,126,Burnhamthorpe Express,1,1260013,24,19.542841533737665,468,43.635377,-79.538346,43.547802,-79.66385,14.035282475153068,0.7181802324356642
135,135,Eglinton Express,0,1350009,27,28.029680461031084,711,43.542263,-79.712343,43.635691,-79.538529,17.432515787619177,0.621930592889032
135,135,Eglinton Express,1,1350010,27,28.52459990698236,681,43.635691,-79.538529,43.542329,-79.712271,17.423479661759856,0.6108229289307182
302,302,Philip Pocock SS,1,3020024,2,9.59940444328457,359,43.624079,-79.626223,43.594321,-79.646566,3.6921102572124465,0.3846186791093406
304,304,Father Goetz SS,1,3040015,1,6.392038281640533,299,43.589672,-79.628499,43.583042,-79.63576,0.9410167785262299,0.1472170123306451
306,306,Streetsville SS,1,3060013,1,7.674102591757318,169,43.578951,-79.717674,43.595499,-79.675443,3.8671641904672964,0.5039239629948369
307,307,Philip Pocock SS,0,3070032,1,9.990859777916942,240,43.624079,-79.626223,43.635804,-79.538386,7.188711270058129,0.7195287923014919
307,307,Philip Pocock SS,1,3070033,1,10.078925450670061,263,43.635634,-79.538048,43.624022,-79.626146,7.207121775292737,0.7150684674241337
312,312,Glenforest SS,0,3120015,1,7.403105854935932,165,43.593709,-79.645835,43.628737,-79.595736,5.607064921970824,0.7573935901824748
312,312,Glenforest SS,1,3120014,1,7.311676771059997,145,43.628185,-79.596339,43.594321,-79.646566,5.525477107958076,0.7557058771837681
313,313,Streetsville SS,0,3130015,2,7.491925048617075,404,43.578951,-79.717674,43.5838,-79.75894,3.3673934130459187,0.4494697145518696
313,313,Streetsville SS,1,3130016,1,7.951843360227236,407,43.583153,-79.758612,43.579604,-79.71748,3.3365719841088524,0.4195972975017839
314,314,Rick Hansen SS,0,3140029,1,5.831186594973613,84,43.589841,-79.683079,43.586957,-79.697556,1.2092722290108204,0.20738012912383788
314,314,Rick Hansen SS,1,3140028,1,5.554528917987676,87,43.589,-79.700307,43.589648,-79.683508,1.354885855131284,0.24392452989913305
315,315,Rick Hansen SS,0,3150022,1,6.20723622782261,290,43.593906,-79.646886,43.589648,-79.683508,2.9871274441905156,0.4812330857977267
315,315,Rick Hansen SS,1,3150021,2,5.619327652753931,278,43.589841,-79.683079,43.594321,-79.646566,2.9824694006651646,0.5307520018348655
321,321,Stephen Lewis SS,0,3210028,2,4.74297887892445,134,43.546155,-79.715238,43.552047,-79.746468,2.600775111291791,0.5483421237333362
321,321,Stephen Lewis SS,1,3210027,2,6.392733285795859,159,43.555268,-79.743789,43.546077,-79.715288,2.514009742420379,0.3932605397453868
321,321,Stephen Lewis SS,1,3210029,1,6.392733285795859,159,43.555268,-79.743789,43.546077,-79.715288,2.514009742420379,0.3932605397453868
