shape_id_text,shape_id,shape_pt_sequence,shape_pt_lon,shape_pt_lat
10392,10392,570003,-79.565475,43.626367
10392,10392,570004,-79.565398,43.626411
10392,10392,570005,-79.565315,43.626456
10392,10392,570006,-79.565155,43.62654
10392,10392,570007,-79.565069,43.626581
10392,10392,570008,-79.564969,43.626627
10392,10392,570009,-79.564883,43.626663
10392,10392,570010,-79.564793,43.626701
10392,10392,570011,-79.564707,43.626733
10392,10392,570012,-79.564614,43.626769
10392,10392,570013,-79.564532,43.626798
10392,10392,570014,-79.564426,43.626834
10392,10392,570015,-79.564332,43.626865
10392,10392,570016,-79.564121,43.626927
10392,10392,570017,-79.563938,43.626978
10392,10392,570018,-79.563815,43.627011
10392,10392,570019,-79.563671,43.627051
10392,10392,570020,-79.562464,43.627341
10392,10392,580001,-79.562464,43.627341
10392,10392,580002,-79.562379,43.627362
10392,10392,580003,-79.561004,43.627653
10392,10392,580004,-79.559096,43.628085
10392,10392,580005,-79.557487,43.628449
10392,10392,580006,-79.55636,43.628704
10392,10392,580007,-79.556295,43.628719
10392,10392,580008,-79.555238,43.628958
10392,10392,590001,-79.555238,43.628958
10392,10392,590002,-79.554944,43.629025
10392,10392,590003,-79.554872,43.629044
10392,10392,590004,-79.554667,43.629102
10392,10392,590005,-79.554462,43.629157
10392,10392,590006,-79.554258,43.629215
10392,10392,590007,-79.553851,43.629333
10392,10392,590008,-79.553648,43.629387
10392,10392,590009,-79.553586,43.629404
10392,10392,590010,-79.553444,43.629445
10392,10392,590011,-79.553242,43.629509
10392,10392,590012,-79.55304,43.629567
10392,10392,590013,-79.552837,43.629629
10392,10392,590014,-79.552636,43.629688
10392,10392,590015,-79.552328,43.629783
10392,10392,590016,-79.55193,43.6299
10392,10392,590017,-79.551902,43.629905
10392,10392,590018,-79.551795,43.629932
10392,10392,590019,-79.551688,43.629963
10392,10392,590020,-79.55158,43.629991
10392,10392,590021,-79.551472,43.630017
10392,10392,590022,-79.551363,43.630045
10392,10392,590023,-79.551255,43.630071
10392,10392,590024,-79.551146,43.630094
10392,10392,590025,-79.551038,43.630122
10392,10392,590026,-79.550928,43.630144
10392,10392,590027,-79.550819,43.630167
10392,10392,590028,-79.550709,43.630193
10392,10392,590029,-79.550601,43.630216
10392,10392,590030,-79.550484,43.630248
10392,10392,590031,-79.550369,43.630274
10392,10392,590032,-79.550251,43.630302
10392,10392,590033,-79.550135,43.630329
10392,10392,590034,-79.550018,43.630355
10392,10392,590035,-79.549901,43.630383
10392,10392,590036,-79.549828,43.630397
10392,10392,590037,-79.549219,43.630518
10392,10392,600001,-79.549219,43.630518
10392,10392,600002,-79.549167,43.630528
10392,10392,600003,-79.547318,43.630953
10392,10392,600004,-79.546931,43.631042
10392,10392,600005,-79.546627,43.631179
10392,10392,610001,-79.546627,43.631179
10392,10392,610002,-79.546593,43.631194
10392,10392,610003,-79.546589,43.631196
10392,10392,610004,-79.546126,43.631433
10392,10392,610005,-79.545339,43.631828
10392,10392,610006,-79.545057,43.631968
10392,10392,620001,-79.545057,43.631968
10392,10392,620002,-79.544708,43.63214
10392,10392,620003,-79.543691,43.632699
10392,10392,620004,-79.543293,43.632977
10392,10392,620005,-79.542721,43.633481
10392,10392,620006,-79.542052,43.634136
10392,10392,620007,-79.541524,43.634613
10392,10392,630001,-79.541524,43.634613
10392,10392,630002,-79.541369,43.634755
