route_id,route_short_name,route_long_name,service_period,avg_headway_min,median_headway_min,p90_headway_min,headway_observations
61,61,Mavis,PM peak,13.514285714285714,13.0,14.0,35
61,61,Mavis,evening,13.464285714285714,14.0,14.0,28
61,61,Mavis,late night,16.78787878787879,15.0,20.0,33
61,61,Mavis,other,,,,0
61,61,Mavis,unknown,,,,0
66,66,McLaughlin,early morning,11.909090909090908,11.0,15.0,11
66,66,McLaughlin,AM peak,11.3125,11.0,12.0,32
66,66,McLaughlin,midday,11.412698412698413,12.0,12.0,63
66,66,McLaughlin,PM peak,10.577777777777778,11.0,11.0,45
66,66,McLaughlin,evening,13.576923076923077,14.0,15.0,26
66,66,McLaughlin,late night,17.391304347826086,17.0,18.0,23
66,66,McLaughlin,other,,,,0
66,66,McLaughlin,unknown,,,,0
68,68,Terry Fox,early morning,,,,0
68,68,Terry Fox,AM peak,70.8,70.0,72.2,5
68,68,Terry Fox,midday,74.6,75.0,76.1,10
68,68,Terry Fox,PM peak,75.33333333333333,75.0,76.5,6
68,68,Terry Fox,evening,74.2,74.0,75.0,5
68,68,Terry Fox,late night,74.33333333333333,75.0,75.0,6
68,68,Terry Fox,other,,,,0
68,68,Terry Fox,unknown,,,,0
70,70,Keaton,early morning,,,,0
70,70,Keaton,AM peak,16.0,15.0,19.2,10
70,70,Keaton,midday,20.0,20.0,20.0,3
70,70,Keaton,PM peak,16.923076923076923,16.0,20.0,13
70,70,Keaton,evening,,,,0
70,70,Keaton,late night,,,,0
70,70,Keaton,other,,,,0
70,70,Keaton,unknown,,,,0
71,71,Sheridan,early morning,,,,0
71,71,Sheridan,AM peak,24.5,24.5,24.9,2
71,71,Sheridan,midday,,,,0
71,71,Sheridan,PM peak,22.5,20.0,27.0,4
71,71,Sheridan,evening,,,,0
71,71,Sheridan,late night,,,,0
71,71,Sheridan,other,,,,0
71,71,Sheridan,unknown,,,,0
73,73,Kamato,early morning,,,,0
73,73,Kamato,AM peak,29.333333333333332,29.0,37.6,12
73,73,Kamato,midday,31.5,31.5,37.7,4
73,73,Kamato,PM peak,33.61538461538461,34.0,41.6,13
73,73,Kamato,evening,36.0,36.0,36.0,1
