stop_id,stop_code,stop_name,stop_lat,stop_lon
0351,351.0,Meadowvale Blvd At Mississauga Rd,43.611933,-79.75548
0352,352.0,Battleford Rd At Edenwood Dr,43.578269,-79.75979
0353,353.0,Lakeshore Rd At Elmwood Ave,43.557031,-79.579737
0354,354.0,Lakeshore Rd At Cumberland Dr,43.558745,-79.577876
0355,355.0,Lakeshore Rd At Hiawatha Pky,43.560452,-79.57609
0356,356.0,Lakeshore Rd At Wenonah Dr,43.562043,-79.574406
0357,357.0,Lakeshore Rd At Shaw Dr,43.563988,-79.572292
0358,358.0,Lakeshore Rd At Shaw Dr,43.564462,-79.572188
0359,359.0,Lakeshore Rd At Wenonah Dr,43.562322,-79.574424
0360,360.0,Lakeshore Rd At Mohawk Ave,43.560776,-79.57607
0361,361.0,Lakeshore Rd At Cumberland Dr,43.559042,-79.577857
0362,362.0,Lakeshore Rd At Woodlawn Ave,43.557976,-79.578972
0363,363.0,Lakeshore Rd At Hurontario St,43.555107,-79.582134
0364,364.0,City Centre Transit Terminal Platform H,43.593666,-79.646318
0365,365.0,Cawthra Rd At South Service Rd,43.580424,-79.581014
0366,366.0,Cawthra Rd At Arbor Rd,43.577037,-79.576789
0367,367.0,Atwater Ave West Of Cawthra Rd,43.574379,-79.573605
0368,368.0,Atwater Ave At Delwood Pl,43.572956,-79.575139
0369,369.0,Atwater Ave At Claredale Rd,43.570142,-79.577695
0370,370.0,Atwater Ave At Canterbury Rd,43.569377,-79.578456
0371,371.0,Atwater Ave At Mineola Gdns,43.567922,-79.580199
0372,372.0,Mineola Rd At Lochlin Trail,43.567709,-79.584273
0373,373.0,Mineola Rd At Broadmoor Ave,43.56691,-79.585146
0374,374.0,Mineola Rd At Crossfield Bend,43.564744,-79.58748
0375,375.0,Mineola Rd At Wilson Ave,43.563385,-79.588973
0376,376.0,Mineola Rd At Hurontario St,43.562008,-79.590466
0377,377.0,Lakeshore Rd At Stavebank Rd,43.552351,-79.585034
0378,378.0,Lakeshore Rd West Of Stavebank Rd,43.551481,-79.585983
0379,379.0,Rexdale Blvd At Humberwood Blvd,43.720226,-79.612764
0380,380.0,Mineola Rd At Oakes Dr,43.56396,-79.58813
0381,381.0,Mineola Rd At Broadmoor Ave,43.566656,-79.585186
0382,382.0,Mineola Rd At Lochlin Trail,43.567484,-79.584281
0384,384.0,Atwater Ave At Canterbury Rd,43.569135,-79.578499
0385,385.0,Atwater Ave At Claredale Rd,43.569891,-79.577706
0386,386.0,Atwater Ave At Delwood Pl,43.572734,-79.575145
0387,387.0,Cawthra Rd At Atwater Ave,43.575132,-79.57349
0392,392.0,Grossbeak Dr At Prairie Circle,43.562163,-79.753373
